;codgeo;libgeo;date_arrete;nb_vp_rechargeables_el;nb_vp_rechargeables_gaz;nb_vp
301764;21608;SINCEY-LÈS-ROUVRAY;2022-06-30;1;0;149
301767;21609;SOIRANS;2023-03-31;2;0;521
301770;21610;SOISSONS-SUR-NACEY;2021-09-30;0;0;420
301773;21611;SOMBERNON;2021-12-31;11;1;1498
301777;21612;SOUHEY;2023-03-31;1;0;115
301779;21613;SOUSSEY-SUR-BRIONNE;2021-09-30;1;0;199
301781;21614;SPOY;2022-06-30;5;0;356
301784;21615;SUSSEY;2023-03-31;2;0;272
301791;21617;TALANT;2023-03-31;135;0;10090
301795;21618;TALMAY;2023-03-31;6;0;607
301796;21619;TANAY;2021-03-31;1;0;249
301800;21620;TARSUL;2023-03-31;3;0;266
301804;21622;TART-LE-BAS;2022-12-31;3;0;264
301811;21623;TART;2022-12-31;19;0;1633
301814;21624;TELLECEY;2022-12-31;1;0;166
301817;21625;TERNANT;2022-12-31;2;0;89
301821;21626;TERREFONDRÉE;2022-12-31;1;0;69
301825;21627;THENISSEY;2022-12-31;0;0;113
301829;21628;THOIRES;2021-09-30;0;0;73
301832;21629;THOISY-LA-BERCHÈRE;2023-03-31;1;0;396
301835;21630;THOISY-LE-DÉSERT;2023-03-31;1;0;219
301838;21631;THOMIREY;2023-03-31;1;0;61
301841;21632;THOREY-EN-PLAINE;2023-03-31;37;0;1233
301847;21633;THOREY-SOUS-CHARNY;2022-09-30;1;0;240
301852;21634;THOREY-SUR-OUCHE;2022-12-31;6;0;173
